SiteId,AuthorityDensity,WardDensity,WardApproximatedSocialGradeAb,WardApproximatedSocialGradeC1,WardApproximatedSocialGradeC2,WardApproximatedSocialGradeDe,GooglePlaceId,Latitude,Longitude,GoogleRating
C9E1B11B-8828-4FCE-897B-3FA3BF284C09,43.5,35.9,1591,2286,814,2096,ChIJl-FV7ruxe0gR959cqa9wcso,53.4841368,-2.2310823,
641FDED6-0BE0-4994-AE6D-88219E9516AE,1.2,1,441,369,260,227,ChIJWSMD9Fotd0gRpAzeWC0X3A8,52.1728887,-1.5472556,
E36AD860-D826-444B-9853-996299063ABD,24.1,31.3,558,1529,682,1725,ChIJWfHCKiSue0gRhfusvCZIkXo,53.4851566,-2.2717917,
A063A8F1-DCEB-43EE-A7B1-CE4C91E3523D,24.1,36.8,2114,3038,677,1640,ChIJj7lb-r6xe0gRkvvLrmoAmAs,53.4693838,-2.2775036,4.3
1453111F-156D-4CA0-A907-0798001B815B,30,9,511,876,440,792,ChIJsWjdEnAGcUgRbs_KQSMix54,51.8633748,-2.2445648,
AFD62C80-E8D6-438B-8C09-BD04E6AA189F,30,9,511,876,440,792,ChIJO8GHDHAGcUgRwQeA5Hzt4HI,51.8622236,-2.2460938,
BE68B530-3978-4BF1-90F8-0845A823A2F9,39.1,54.8,2101,3081,464,782,ChIJQzA9982NcUgRIy3typGO_BU,51.4491712,-2.6084058,4.5
FB1B6114-60BF-4C79-8E61-02A0E3759636,21.3,28.9,317,1091,975,2149,ChIJ3ywRClu2e0gRapM7yJ3Av18,53.4873406,-2.0977999,
57663AD2-9F9F-44FB-8BD8-4A297C34226E,21.3,35.1,480,1065,942,1009,ChIJCRJTaCC2e0gRTPXgO7Hg_FU,53.482954,-2.056395,
1DB9EE84-499C-4676-8544-F42BAE083927,21.3,28.9,317,1091,975,2149,ChIJQflHM1i2e0gRSoKYTmdJ9E4,53.4900536,-2.1047006,
F07461CE-760E-4888-AEE6-F5C78F501796,21.3,28.9,317,1091,975,2149,ChIJedsNskS2e0gRRU7BqChR33w,53.4830222,-2.1000559,4.7
B6DFD116-A8E6-4AA3-A23F-40AE0D17098C,5.7,4.5,338,271,162,105,ChIJFYjy0Sh_cEgRns61MCyoGzg,52.638856,-2.4929615,
59806A03-4AF6-45E2-B83A-480BE47483FD,5.7,11.4,142,349,396,717,ChIJKYMxAlZ-cEgRj1MV26QHidk,52.629062,-2.4513017,4.5
4E91C8ED-B4E2-476B-B42E-F061FED34DCA,26.2,22.6,922,1571,515,874,ChIJo3qyaTtbeEgRlATc77HOBN4,53.231921,-0.5372818,4.4
