Id,AuthorityDensity,WardApproximatedSocialGradeAb,WardApproximatedSocialGradeC1,WardApproximatedSocialGradeC2,WardApproximatedSocialGradeDe,GooglePlaceId,Latitude,Longitude,GoogleRating
C9E1B11B-8828-4FCE-897B-3FA3BF284C09,43.5,1591,2286,814,2096,ChIJl-FV7ruxe0gR959cqa9wcso,53.4841368,-2.2310823,
641FDED6-0BE0-4994-AE6D-88219E9516AE,1.2,441,369,260,227,ChIJWSMD9Fotd0gRpAzeWC0X3A8,52.1728887,-1.5472556,
57663AD2-9F9F-44FB-8BD8-4A297C34226E,21.3,480,1065,942,1009,ChIJCRJTaCC2e0gRTPXgO7Hg_FU,53.482954,-2.056395,
1DB9EE84-499C-4676-8544-F42BAE083927,21.3,317,1091,975,2149,ChIJQflHM1i2e0gRSoKYTmdJ9E4,53.4900536,-2.1047006,
F07461CE-760E-4888-AEE6-F5C78F501796,21.3,317,1091,975,2149,ChIJedsNskS2e0gRRU7BqChR33w,53.4830222,-2.1000559,4.7
B6DFD116-A8E6-4AA3-A23F-40AE0D17098C,5.7,338,271,162,105,ChIJFYjy0Sh_cEgRns61MCyoGzg,52.638856,-2.4929615,
59806A03-4AF6-45E2-B83A-480BE47483FD,5.7,142,349,396,717,ChIJKYMxAlZ-cEgRj1MV26QHidk,52.629062,-2.4513017,4.5
4E91C8ED-B4E2-476B-B42E-F061FED34DCA,26.2,922,1571,515,874,ChIJo3qyaTtbeEgRlATc77HOBN4,53.231921,-0.5372818,4.4
84DC994E-32B4-4360-ABA4-642A7D62C0EF,0.9,437,452,460,380,ChIJb5w-TomLeUgRoPx2PwebnKc,53.0946507,-1.5180379,
54D72BC1-AAD2-4A2E-92D9-74EC238F3789,0.7,269,324,180,158,ChIJVRVEf64VcUgR_7kaG5BRcaM,51.717298,-1.970704,4.5
1996A81D-E173-4B7A-A3CB-4814522C7B01,0.9,283,482,424,461,ChIJF8s2endkckgRBW72yGWRroQ,50.7325414,-2.7579237,
D0ECF7ED-8413-4EEF-A00A-C962B8F4BD57,0.9,283,482,424,461,ChIJlbpkKXhkckgRGLD69Uuycks,50.7321906,-2.758778,
64163E39-AD67-425F-96C6-E4AE39F50170,1.5,498,320,193,138,ChIJV3iUI-PPdkgRGA7v4bhZPlU,51.841365,-1.360972,4.4
a4426943-f678-4f96-bd1f-8e8d8c28b888,26.2,678,1262,741,1556,ChIJRwcHQzpbeEgRANfWHR5CbhA,53.2293,-0.5346,
4B4B6C90-DB0C-408A-8441-539A1017689C,102.2,2232,1793,308,670,ChIJ8TcYbCsFdkgREJn6RlCbKjw,51.5130068,-0.1459068,4
E06E33EC-3CF7-4864-81A1-BF23B3D98B71,10.2,608,664,458,379,ChIJ6VV5brbveUgRwAO_qM1BrwM,52.9029696,-1.3728467,
F3404576-4C82-40DF-89BB-856C0024E994,128.5,1274,1126,271,827,ChIJhXHM0SwDdkgRPUyeNbnHikI,51.514516,-0.0550816,
C80ADCA6-D54C-49CD-9C5E-EBBDF54E59F0,1.4,359,548,402,601,ChIJe5YEx5LVc0gRLlmM_boDvzk,51.3142049,-2.2168621,
DA5D0B39-E64B-4432-849E-3179D1575B12,5.1,663,548,197,159,ChIJV5FnuhjRdUgRfpFw_WR40lE,51.2410838,-0.5900482,4.2
907FF71D-97DD-4968-A946-C18FB5F8701A,32.1,432,1744,378,707,ChIJbW1nyrTsbEgR5hbBA6rM0bI,50.3744406,-4.1376815,4.2
38716826-BAB5-42F2-870E-0B3903EE6851,1.2,752,784,358,413,ChIJC7_azSzOcEgRmDvsC2QQsmI,52.188562,-1.708642,4.4
2ED1CDC8-B6B6-4749-9C6F-1C40A312E780,1.2,752,784,358,413,ChIJpwpIMzLOcEgR_8s9XwOGx5o,52.191766,-1.7069413,
4AA72FB8-A037-4201-B91A-3A0B9A384ED6,1.2,724,854,484,646,ChIJP_26dzPOcEgRkYnoJ76lflk,52.1940126,-1.7087557,
70AC25D3-8F99-45B1-8FC0-5B829F02852F,1.2,752,784,358,413,ChIJB3auFcPPcEgRs378X7fbCC0,52.1906782,-1.7320073,
0D4DF8B1-A821-4A97-A7CB-71F5B6DD4334,1.2,202,169,75,73,ChIJG4CGbn_PcEgR-Idnq_O2aL0,52.221,-1.760987,
FB1B33CC-F7CB-4F40-B23E-DD520984E688,7,1129,1114,628,466,ChIJX3nsmyBjeUgR-Ts5mG99H1k,53.5709251,-1.5905714,4.2
6CFE763E-D72B-49A5-BCB5-03D4623FB645,7,484,1153,1014,1452,ChIJc11VJCtleUgRPWCmKRB9Zv4,53.5552637,-1.4819228,
9223AD09-6D47-4985-8A33-3EBC94ED17B3,7,1129,1114,628,466,ChIJX3nsmyBjeUgR-Ts5mG99H1k,53.5709251,-1.5905714,4.2
0C5896D8-EFE3-4E8E-9F8F-436A67A0A7C1,7,348,700,775,1167,ChIJjbogXO96eUgRsI_6anJmr_c,53.5263802,-1.4708259,
1CFEB323-AEA8-4738-A7C1-49B144D8A827,7,509,1006,1022,1253,ChIJ08lqY5pweUgRVPkrR1K3Kh4,53.4943593,-1.4214152,4.3
80E6A12E-E28F-4C84-84CD-B07D3F654E56,7,348,700,775,1167,ChIJ3fCys-V6eUgRwmyv5vABZF4,53.5255967,-1.4741692,
1AD72CFC-EDFD-46D8-AFFE-CE41CD1D17A9,6.3,922,2821,809,2099,ChIJPyhTU0v1bkgRhlqjzzhCN34,51.6168132,-3.9387805,3.8
